show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,month_name,duration_minutes,duration_seasons,primary_country,primary_genre,content_age_at_addition,is_multi_country,is_multi_genre,genre_count,cast_count,era,rating_category
s00022,TV Show,Untitled Series 2166,Unknown,"Actor 331, Actor 299, Actor 424, Actor 96, Actor 372",Turkey,2021-01-08,1983,TV-MA,1 Season,"TV Action & Adventure, Anime Series, TV Dramas",Ancient myths intertwine with modern life in this visually stunning epic.,2021,1,Jan,,1.0,Turkey,TV Action & Adventure,38.0,0,1,3,5,1980s,Adults
s00023,Movie,Untitled Film 4223,Director 143,"Actor 299, Actor 105, Actor 285, Actor 497, Actor 294, Actor 396, Actor 312",Philippines,2012-06-02,1996,TV-MA,197 min,"Stand-Up Comedy, Anime Features",A detective must race against time to solve a series of mysterious disappearances.,2012,6,Jun,197.0,,Philippines,Stand-Up Comedy,16.0,0,1,2,7,1990s,Adults
s00024,Movie,Untitled Film 3408,Raul Campos,"Actor 193, Actor 418, Actor 307",Nigeria,2014-10-01,2001,TV-MA,157 min,"Sci-Fi & Fantasy, Romantic Movies","When the rules no longer apply, how far will you go to protect what you love?",2014,10,Oct,157.0,,Nigeria,Sci-Fi & Fantasy,13.0,0,1,2,3,2000s,Adults
s00025,Movie,Untitled Film 6466,Director 165,"Actor 295, Actor 208, Actor 181",United States,2021-11-20,1992,TV-MA,103 min,Dramas,"Love, loss, and laughter collide in this heartwarming family drama.",2021,11,Nov,103.0,,United States,Dramas,29.0,0,0,1,3,1990s,Adults
s00026,Movie,Untitled Film 4971,Director 10,"Nicolas Cage, Actor 87, Actor 413, Actor 202, Actor 158",Turkey,2016-08-11,2013,PG,78 min,"LGBTQ Movies, Sci-Fi & Fantasy",A gripping story of survival and redemption set against breathtaking landscapes.,2016,8,Aug,78.0,,Turkey,LGBTQ Movies,3.0,0,1,2,5,2010s,Teens
s00027,TV Show,Untitled Series 990,Director 166,"Actor 494, Actor 414, Actor 434, Actor 140, Actor 464, Actor 438, Actor 243",United States,2019-11-30,2021,TV-MA,6 Seasons,"Anime Series, Romantic TV Shows",A single decision ripples through generations in this powerful generational saga.,2019,11,Nov,,6.0,United States,Anime Series,0.0,0,1,2,7,2020s,Adults
s00028,TV Show,Untitled Series 949,Director 11,"Actor 134, Actor 197, Actor 43",United States,2015-03-04,2019,TV-MA,1 Season,"British TV Shows, Teen TV Shows",A single decision ripples through generations in this powerful generational saga.,2015,3,Mar,,1.0,United States,British TV Shows,0.0,0,1,2,3,2010s,Adults
s00029,Movie,Untitled Film 474,Director 63,"Actor 377, Actor 407, Actor 203",United States,2008-06-09,1998,NR,112 min,"Children & Family Movies, Music & Musicals",A single decision ripples through generations in this powerful generational saga.,2008,6,Jun,112.0,,United States,Children & Family Movies,10.0,0,1,2,3,1990s,Adults
s00030,Movie,Untitled Film 3149,Director 109,Unknown,Mexico,2018-06-25,1966,TV-MA,146 min,Faith & Spirituality,A gripping story of survival and redemption set against breathtaking landscapes.,2018,6,Jun,146.0,,Mexico,Faith & Spirituality,52.0,0,0,1,0,Pre-1980s,Adults
s00031,Movie,Untitled Film 5229,Director 59,"Actor 366, Actor 262, Actor 409, Actor 236, Actor 61","India, Hong Kong",2015-05-05,1977,R,169 min,"Anime Features, Dramas",A young entrepreneur bets everything on a revolutionary idea that could change the world.,2015,5,May,169.0,,India,Anime Features,38.0,1,1,2,5,Pre-1980s,Adults
s00032,Movie,Untitled Film 5289,Director 132,"Actor 107, Actor 462, Actor 95",France,2013-07-18,1975,NR,77 min,"Romantic Movies, Sci-Fi & Fantasy","Secrets buried for decades resurface, threatening to destroy everything.",2013,7,Jul,77.0,,France,Romantic Movies,38.0,0,1,2,3,Pre-1980s,Adults
s00033,TV Show,Untitled Series 1480,Director 52,"Actor 362, Actor 384, Actor 181, Actor 55, Actor 226","Germany, France",2014-12-23,1963,TV-14,1 Season,TV Mysteries,"In a world on the brink of collapse, one person holds the key to salvation.",2014,12,Dec,,1.0,Germany,TV Mysteries,51.0,1,0,1,5,Pre-1980s,Teens
s00034,Movie,Untitled Film 6486,Unknown,"Actor 479, Actor 86, Actor 421, Actor 348, Actor 448",India,2019-05-07,1993,PG-13,70 min,"Music & Musicals, Horror Movies","When the rules no longer apply, how far will you go to protect what you love?",2019,5,May,70.0,,India,Music & Musicals,26.0,0,1,2,5,1990s,Teens
s00035,TV Show,Untitled Series 1076,Director 35,"Actor 66, Actor 263, Actor 439, Actor 227, Actor 453, Actor 366, Actor 322",Australia,2021-04-15,1984,TV-Y,2 Seasons,British TV Shows,A detective must race against time to solve a series of mysterious disappearances.,2021,4,Apr,,2.0,Australia,British TV Shows,37.0,0,0,1,7,1980s,Kids
s00036,Movie,Untitled Film 1701,Unknown,"Actor 65, Actor 225, Actor 394, Actor 478, Actor 224, Actor 465, Actor 480",United States,2014-03-13,2021,NR,150 min,"International Movies, Comedies","Secrets buried for decades resurface, threatening to destroy everything.",2014,3,Mar,150.0,,United States,International Movies,0.0,0,1,2,7,2020s,Adults
s00037,Movie,Untitled Film 3276,Director 163,"Actor 338, Actor 442, Actor 255, Actor 291, Actor 235",United Kingdom,2019-11-28,1994,PG-13,122 min,Romantic Movies,A young entrepreneur bets everything on a revolutionary idea that could change the world.,2019,11,Nov,122.0,,United Kingdom,Romantic Movies,25.0,0,0,1,5,1990s,Teens
s00038,Movie,Untitled Film 6049,Director 167,"Actor 267, Actor 80, Actor 176, Actor 281, Actor 210",Canada,2018-11-10,1985,TV-14,197 min,Stand-Up Comedy,A gripping story of survival and redemption set against breathtaking landscapes.,2018,11,Nov,197.0,,Canada,Stand-Up Comedy,33.0,0,0,1,5,1980s,Teens
s00039,TV Show,Untitled Series 2157,Jay Karas,"Actor 458, Actor 468, Actor 429, Actor 326, Actor 166",United States,2010-10-31,2012,TV-MA,1 Season,"Anime Series, TV Thrillers, Crime TV Shows",An unlikely friendship forms between two strangers in extraordinary circumstances.,2010,10,Oct,,1.0,United States,Anime Series,0.0,0,1,3,5,2010s,Adults
s00040,Movie,Untitled Film 3992,Director 36,"Actor 404, Actor 209, Actor 367",Canada,2020-08-15,1988,TV-MA,78 min,"Sci-Fi & Fantasy, Stand-Up Comedy","In a world on the brink of collapse, one person holds the key to salvation.",2020,8,Aug,78.0,,Canada,Sci-Fi & Fantasy,32.0,0,1,2,3,1980s,Adults
s00041,Movie,Untitled Film 2465,Guillermo del Toro,"Actor 155, Actor 54, Actor 138",Spain,2012-08-29,1977,TV-MA,75 min,Sci-Fi & Fantasy,"In a world on the brink of collapse, one person holds the key to salvation.",2012,8,Aug,75.0,,Spain,Sci-Fi & Fantasy,35.0,0,0,1,3,Pre-1980s,Adults
s00042,Movie,Untitled Film 2349,Director 40,"Actor 180, Actor 413, Actor 95, Actor 208, Actor 130",Canada,2018-03-08,1959,R,68 min,"Documentaries, Comedies, Dramas",A detective must race against time to solve a series of mysterious disappearances.,2018,3,Mar,68.0,,Canada,Documentaries,59.0,0,1,3,5,Pre-1980s,Adults
s00043,Movie,Untitled Film 4838,Director 99,"Actor 18, Actor 420, Actor 308, Actor 234, Actor 4",India,2017-01-10,1984,PG-13,133 min,Faith & Spirituality,"In a world on the brink of collapse, one person holds the key to salvation.",2017,1,Jan,133.0,,India,Faith & Spirituality,33.0,0,0,1,5,1980s,Teens
s00044,Movie,Untitled Film 6228,Director 19,"Actor 424, Actor 481, Actor 71, Actor 459, Actor 334, Actor 396, Actor 319",Germany,2019-08-22,2006,TV-MA,128 min,Action & Adventure,A detective must race against time to solve a series of mysterious disappearances.,2019,8,Aug,128.0,,Germany,Action & Adventure,13.0,0,0,1,7,2000s,Adults
s00045,Movie,Untitled Film 3336,Director 53,"Actor 96, Actor 391, Shah Rukh Khan",Indonesia,2020-05-03,1954,PG-13,186 min,"Anime Features, Sci-Fi & Fantasy",Ancient myths intertwine with modern life in this visually stunning epic.,2020,5,May,186.0,,Indonesia,Anime Features,66.0,0,1,2,3,Pre-1980s,Teens
s00046,Movie,Untitled Film 1500,Director 6,"Actor 426, Actor 474, Actor 102, Actor 7, Actor 223, Actor 140, Actor 296",Germany,2009-02-26,1976,PG-13,192 min,"Anime Features, Music & Musicals",An unlikely friendship forms between two strangers in extraordinary circumstances.,2009,2,Feb,192.0,,Germany,Anime Features,33.0,0,1,2,7,Pre-1980s,Teens
s00047,Movie,Untitled Film 893,Director 79,"Actor 461, Actor 227, Actor 445, Actor 126, Actor 370, Actor 173, Actor 498",South Korea,2014-07-18,2015,TV-PG,178 min,"Documentaries, Comedies","Secrets buried for decades resurface, threatening to destroy everything.",2014,7,Jul,178.0,,South Korea,Documentaries,0.0,0,1,2,7,2010s,Teens
s00048,TV Show,Untitled Series 1669,Director 87,"Actor 331, Actor 318, Actor 364, Actor 444, Actor 307","United States, Denmark",2014-09-11,2012,TV-Y7,1 Season,"Kids' TV, Classic & Cult TV, TV Horror","Love, loss, and laughter collide in this heartwarming family drama.",2014,9,Sep,,1.0,United States,Kids' TV,2.0,1,1,3,5,2010s,Kids
s00049,TV Show,Untitled Series 1652,Quentin Tarantino,"Actor 317, Actor 80, Actor 428",Canada,2016-08-28,1969,TV-PG,1 Season,Talk Shows & Variety,A gripping story of survival and redemption set against breathtaking landscapes.,2016,8,Aug,,1.0,Canada,Talk Shows & Variety,47.0,0,0,1,3,Pre-1980s,Teens
s00050,TV Show,Untitled Series 560,Director 74,"Actor 314, Actor 367, Actor 302, Actor 477, Actor 14",United States,2013-12-11,1993,TV-PG,1 Season,"Kids' TV, TV Mysteries","Love, loss, and laughter collide in this heartwarming family drama.",2013,12,Dec,,1.0,United States,Kids' TV,20.0,0,1,2,5,1990s,Teens
s00051,TV Show,Untitled Series 340,Christopher Nolan,Unknown,South Korea,2017-12-13,1971,TV-MA,1 Season,"TV Mysteries, Korean TV Shows",A young entrepreneur bets everything on a revolutionary idea that could change the world.,2017,12,Dec,,1.0,South Korea,TV Mysteries,46.0,0,1,2,0,Pre-1980s,Adults
s00052,Movie,Untitled Film 1156,Director 195,"Actor 224, Actor 487, Actor 124",United Kingdom,2011-10-24,1972,PG,122 min,Children & Family Movies,A single decision ripples through generations in this powerful generational saga.,2011,10,Oct,122.0,,United Kingdom,Children & Family Movies,39.0,0,0,1,3,Pre-1980s,Teens
s00053,Movie,Untitled Film 5426,Director 61,"Actor 284, Actor 412, Actor 234, Actor 445, Actor 287, Actor 181, Actor 371",India,2020-04-04,1970,TV-G,62 min,"Action & Adventure, Thrillers, Independent Movies","In a world on the brink of collapse, one person holds the key to salvation.",2020,4,Apr,62.0,,India,Action & Adventure,50.0,0,1,3,7,Pre-1980s,Kids
s00054,Movie,Untitled Film 4672,Unknown,"Actor 28, Actor 486, Actor 271, Actor 213, Actor 338, Actor 202, Actor 172",United States,2016-11-16,1985,UR,135 min,"Documentaries, Action & Adventure",A gripping story of survival and redemption set against breathtaking landscapes.,2016,11,Nov,135.0,,United States,Documentaries,31.0,0,1,2,7,1980s,Adults
s00055,Movie,Untitled Film 6424,Director 6,"Actor 352, Actor 491, Actor 257, Actor 146, Actor 241","United States, Mexico",2015-04-30,2003,R,172 min,"Sports Movies, Stand-Up Comedy, Classic Movies",An unlikely friendship forms between two strangers in extraordinary circumstances.,2015,4,Apr,172.0,,United States,Sports Movies,12.0,1,1,3,5,2000s,Adults
s00056,Movie,Untitled Film 580,Director 175,"Actor 248, Actor 104, Actor 443",United States,2016-11-29,2021,NR,96 min,Children & Family Movies,"In a world on the brink of collapse, one person holds the key to salvation.",2016,11,Nov,96.0,,United States,Children & Family Movies,0.0,0,0,1,3,2020s,Adults
s00057,Movie,Untitled Film 5194,Director 135,"Actor 287, Actor 396, Actor 97, Actor 121, Actor 24, Actor 16, Actor 289","United States, Argentina",2015-05-11,1978,R,155 min,"Action & Adventure, Faith & Spirituality, Thrillers","When the rules no longer apply, how far will you go to protect what you love?",2015,5,May,155.0,,United States,Action & Adventure,37.0,1,1,3,7,Pre-1980s,Adults
s00058,Movie,Untitled Film 3147,Director 159,"Actor 402, Actor 79, Actor 479",Indonesia,2020-02-12,2003,PG-13,176 min,"Children & Family Movies, Dramas",A young entrepreneur bets everything on a revolutionary idea that could change the world.,2020,2,Feb,176.0,,Indonesia,Children & Family Movies,17.0,0,1,2,3,2000s,Teens
s00059,Movie,Untitled Film 3596,Director 138,"Actor 385, Actor 260, Actor 172","Hong Kong, Sweden",2016-03-28,2019,TV-14,173 min,"Sci-Fi & Fantasy, Comedies, Romantic Movies","In a world on the brink of collapse, one person holds the key to salvation.",2016,3,Mar,173.0,,Hong Kong,Sci-Fi & Fantasy,0.0,1,1,3,3,2010s,Teens
s00060,Movie,Untitled Film 378,Director 28,"Actor 216, Actor 314, Actor 129, Naseeruddin Shah, Actor 261, Actor 126, Actor 111",United States,2009-07-16,2020,R,145 min,"Horror Movies, Action & Adventure",A gripping story of survival and redemption set against breathtaking landscapes.,2009,7,Jul,145.0,,United States,Horror Movies,0.0,0,1,2,7,2020s,Adults
s00061,Movie,Untitled Film 85,Director 162,"Actor 94, Actor 43, Actor 465, Actor 437, Actor 348",United States,2011-11-28,1983,NR,151 min,"Action & Adventure, Sci-Fi & Fantasy","When the rules no longer apply, how far will you go to protect what you love?",2011,11,Nov,151.0,,United States,Action & Adventure,28.0,0,1,2,5,1980s,Adults
s00062,Movie,Untitled Film 5002,Christopher Nolan,"Actor 468, Actor 389, Actor 414",Nigeria,2014-10-06,2008,TV-MA,71 min,"Sports Movies, Sci-Fi & Fantasy",An unlikely friendship forms between two strangers in extraordinary circumstances.,2014,10,Oct,71.0,,Nigeria,Sports Movies,6.0,0,1,2,3,2000s,Adults
s00063,Movie,Untitled Film 2602,Director 125,"Actor 442, Actor 495, Actor 418, Actor 79, Actor 95",United States,2020-04-19,1991,R,97 min,"Anime Features, Romantic Movies, Music & Musicals",A single decision ripples through generations in this powerful generational saga.,2020,4,Apr,97.0,,United States,Anime Features,29.0,0,1,3,5,1990s,Adults
s00064,Movie,Untitled Film 3353,Director 38,"Actor 134, Actor 463, Actor 46",United States,2015-01-04,2004,NR,146 min,Comedies,An unlikely friendship forms between two strangers in extraordinary circumstances.,2015,1,Jan,146.0,,United States,Comedies,11.0,0,0,1,3,2000s,Adults
s00065,Movie,Untitled Film 755,Director 4,"Actor 411, Actor 30, Actor 272, Actor 297, Actor 338",United Kingdom,2020-08-05,2021,NR,155 min,LGBTQ Movies,"Love, loss, and laughter collide in this heartwarming family drama.",2020,8,Aug,155.0,,United Kingdom,LGBTQ Movies,0.0,0,0,1,5,2020s,Adults
s00066,Movie,Untitled Film 5343,Director 119,"Actor 417, Actor 4, Actor 251",United States,2016-03-30,1964,R,183 min,Children & Family Movies,"Secrets buried for decades resurface, threatening to destroy everything.",2016,3,Mar,183.0,,United States,Children & Family Movies,52.0,0,0,1,3,Pre-1980s,Adults
s00067,Movie,Untitled Film 2839,Christopher Nolan,"Actor 198, Actor 363, Actor 407",United States,2009-07-24,1968,R,61 min,"Horror Movies, Cult Movies","Secrets buried for decades resurface, threatening to destroy everything.",2009,7,Jul,61.0,,United States,Horror Movies,41.0,0,1,2,3,Pre-1980s,Adults
s00068,TV Show,Untitled Series 1298,Director 42,"Actor 412, Actor 475, Actor 430, Actor 402, Actor 257","United States, Canada",2021-11-09,1956,TV-14,4 Seasons,Romantic TV Shows,An unlikely friendship forms between two strangers in extraordinary circumstances.,2021,11,Nov,,4.0,United States,Romantic TV Shows,65.0,1,0,1,5,Pre-1980s,Teens
s00069,Movie,Untitled Film 3485,Director 126,"Actor 187, Actor 286, Actor 194",France,2014-12-01,1955,PG-13,88 min,"Children & Family Movies, Stand-Up Comedy",A young entrepreneur bets everything on a revolutionary idea that could change the world.,2014,12,Dec,88.0,,France,Children & Family Movies,59.0,0,1,2,3,Pre-1980s,Teens
s00070,Movie,Untitled Film 27,Director 144,"Actor 51, Actor 384, Actor 21, Actor 424, Haruka Ayase, Actor 448, Actor 57",United States,2013-02-28,2014,TV-MA,187 min,"Faith & Spirituality, Music & Musicals, Independent Movies",Ancient myths intertwine with modern life in this visually stunning epic.,2013,2,Feb,187.0,,United States,Faith & Spirituality,0.0,0,1,3,7,2010s,Adults
s00071,Movie,Untitled Film 907,Director 65,"Actor 86, Actor 227, Actor 424",United States,2021-11-11,2008,R,163 min,"LGBTQ Movies, Comedies",Ancient myths intertwine with modern life in this visually stunning epic.,2021,11,Nov,163.0,,United States,LGBTQ Movies,13.0,0,1,2,3,2000s,Adults
s00072,Movie,Untitled Film 6073,Director 171,"Actor 129, Actor 219, Actor 83","Australia, Poland",2010-07-23,2017,R,146 min,Romantic Movies,A detective must race against time to solve a series of mysterious disappearances.,2010,7,Jul,146.0,,Australia,Romantic Movies,0.0,1,0,1,3,2010s,Adults
s00073,TV Show,Untitled Series 596,Director 167,"Actor 308, Actor 301, Actor 132, Actor 428, Actor 47",United States,2019-01-30,2009,TV-PG,3 Seasons,"TV Mysteries, Anime Series","In a world on the brink of collapse, one person holds the key to salvation.",2019,1,Jan,,3.0,United States,TV Mysteries,10.0,0,1,2,5,2000s,Teens
s00074,Movie,Untitled Film 2847,Director 191,"Actor 497, Actor 371, Actor 451","India, China",2014-06-09,1959,R,189 min,"Dramas, Sci-Fi & Fantasy","In a world on the brink of collapse, one person holds the key to salvation.",2014,6,Jun,189.0,,India,Dramas,55.0,1,1,2,3,Pre-1980s,Adults
s00075,TV Show,Untitled Series 741,Director 17,Unknown,"United States, South Korea",2015-09-14,1960,TV-14,1 Season,"Talk Shows & Variety, Romantic TV Shows","When the rules no longer apply, how far will you go to protect what you love?",2015,9,Sep,,1.0,United States,Talk Shows & Variety,55.0,1,1,2,0,Pre-1980s,Teens
s00076,TV Show,Untitled Series 620,Director 138,"Actor 315, Actor 74, Actor 373",United States,2021-05-29,1956,TV-Y,1 Season,Spanish-Language TV Shows,A detective must race against time to solve a series of mysterious disappearances.,2021,5,May,,1.0,United States,Spanish-Language TV Shows,65.0,0,0,1,3,Pre-1980s,Kids
s00077,Movie,Untitled Film 631,Denis Villeneuve,"Actor 363, Actor 314, Actor 108",United States,2016-10-15,1966,TV-PG,96 min,"LGBTQ Movies, Comedies",Ancient myths intertwine with modern life in this visually stunning epic.,2016,10,Oct,96.0,,United States,LGBTQ Movies,50.0,0,1,2,3,Pre-1980s,Teens
s00078,Movie,Untitled Film 2928,Director 8,"Actor 280, Actor 81, Actor 497",United States,2018-11-27,1974,PG-13,64 min,"LGBTQ Movies, Dramas",A young entrepreneur bets everything on a revolutionary idea that could change the world.,2018,11,Nov,64.0,,United States,LGBTQ Movies,44.0,0,1,2,3,Pre-1980s,Teens
s00079,TV Show,Untitled Series 506,Unknown,"Actor 221, Actor 432, Actor 269",United States,2011-09-18,2006,TV-MA,2 Seasons,"Talk Shows & Variety, Kids' TV","When the rules no longer apply, how far will you go to protect what you love?",2011,9,Sep,,2.0,United States,Talk Shows & Variety,5.0,0,1,2,3,2000s,Adults
s00080,Movie,Untitled Film 2499,Director 45,"Actor 492, Actor 406, Actor 143, Actor 182, Actor 119",United States,2020-10-16,2006,TV-G,180 min,"Dramas, Sports Movies, Cult Movies","When the rules no longer apply, how far will you go to protect what you love?",2020,10,Oct,180.0,,United States,Dramas,14.0,0,1,3,5,2000s,Kids
s00081,Movie,Untitled Film 5791,Director 10,"Actor 71, Actor 205, Actor 439, Actor 335, Actor 5, Actor 402, Actor 32",United States,2014-02-12,2007,G,192 min,Cult Movies,"Love, loss, and laughter collide in this heartwarming family drama.",2014,2,Feb,192.0,,United States,Cult Movies,7.0,0,0,1,7,2000s,Kids
s00082,Movie,Untitled Film 632,Director 46,"Actor 461, Actor 120, Actor 458, Actor 437, Nicolas Cage, Actor 59, Haruka Ayase","United States, Italy",2015-07-09,1968,R,155 min,Documentaries,"When the rules no longer apply, how far will you go to protect what you love?",2015,7,Jul,155.0,,United States,Documentaries,47.0,1,0,1,7,Pre-1980s,Adults
s00083,TV Show,Untitled Series 2463,Director 176,"Actor 42, Actor 91, Actor 489, Jun Ji-hyun, Actor 225",United States,2009-01-26,1980,TV-MA,2 Seasons,"TV Mysteries, TV Sci-Fi & Fantasy",A gripping story of survival and redemption set against breathtaking landscapes.,2009,1,Jan,,2.0,United States,TV Mysteries,29.0,0,1,2,5,1980s,Adults
s00084,TV Show,Untitled Series 1415,Director 174,"Penelope Cruz, Actor 377, Actor 459, Actor 22, Actor 374, Actor 360, Actor 237","France, China",2009-07-08,2017,TV-14,1 Season,"Korean TV Shows, TV Comedies",A young entrepreneur bets everything on a revolutionary idea that could change the world.,2009,7,Jul,,1.0,France,Korean TV Shows,0.0,1,1,2,7,2010s,Teens
s00085,Movie,Untitled Film 5968,Director 181,"Actor 453, Actor 468, Actor 164, Actor 116, Actor 42",Spain,2008-12-29,1995,NR,86 min,"Sci-Fi & Fantasy, Dramas","Secrets buried for decades resurface, threatening to destroy everything.",2008,12,Dec,86.0,,Spain,Sci-Fi & Fantasy,13.0,0,1,2,5,1990s,Adults
